secao,chave,canal,marca,alvo_proposto,ofertas_afetadas,composicao_empirica,componentes,unidades,pedidos_de_evidencia,ultima_evidencia,evidencia,alerta,responsavel,estado,decidido_em,observacao
chave_de_canal,01346,shopee|tiktok,apice,,3,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT001,shopee|tiktok,apice,,2,sim,5,5.0,48,2026-09-24 22:31:33,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT002,shopee|tiktok,apice,,3,sim,2,2.0,4,2026-07-26 13:15:02,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT003,shopee|tiktok,apice,,2,sim,9,9.0,3,2026-09-19 17:33:12,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT004,shopee|tiktok,apice,,2,sim,3,3.0,168,2026-09-24 21:37:40,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT005,shopee|tiktok,apice,,2,sim,7,7.0,6,2026-09-23 22:00:25,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT0056,tiktok,apice,,1,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
chave_de_canal,KIT006,shopee|tiktok,apice,,2,sim,4,4.0,2,2026-09-20 20:40:44,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT007,shopee|tiktok,apice,,2,sim,5,5.0,12,2026-09-23 15:10:35,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT008,shopee|tiktok,apice,,2,sim,10,10.0,3,2026-09-24 10:44:32,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT009,shopee|tiktok,apice,,2,sim,4,4.0,185,2026-09-24 16:11:39,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT010,shopee|tiktok,apice,,2,sim,4,4.0,4,2026-08-31 15:06:28,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT011,shopee|tiktok,apice,,2,sim,8,8.0,3,2026-09-19 20:14:05,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT012,shopee|tiktok,apice,,2,sim,4,4.0,3,2026-09-13 19:53:11,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT013,shopee|tiktok,apice,,3,sim,2,2.0,43,2026-09-10 12:57:56,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT014,shopee|tiktok,apice,,2,sim,2,2.0,1,2026-07-12 10:43:07,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT015,shopee|tiktok,apice,,2,sim,5,5.0,2,2026-09-05 22:46:50,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT016,shopee|tiktok,apice,,2,sim,4,4.0,1,2026-09-22 02:11:13,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT017,shopee|tiktok,apice,,2,sim,5,5.0,5,2026-09-09 12:30:29,composicao reconstruida de NF (KITS-MAP-1),,,PENDENTE,,
chave_de_canal,KIT018,shopee|tiktok,apice,,2,nao,,,,,nenhuma,sem composicao: exige a BOM do fornecedor ou do Protheus,,PENDENTE,,
