paid_date,paid_orders,shipped_within_sla,shipped_after_sla,not_shipped_overdue,not_shipped_on_time,late_rate_pct_rounded
2026-09-01,1444,1430,11,3,0,1
2026-09-02,1329,1320,9,0,0,1
2026-09-03,1257,1241,13,3,0,1
2026-09-04,1468,1386,65,17,0,6
2026-09-05,1211,1080,130,1,0,11
2026-09-06,1646,748,886,12,0,55
2026-09-07,1439,1,1435,3,0,100
2026-09-08,1197,0,1194,3,0,100
2026-09-09,2409,0,2386,23,0,100
2026-09-10,1393,970,419,4,0,30
2026-09-11,1336,1213,120,3,0,9
2026-09-12,665,335,326,4,0,50
2026-09-13,668,0,658,10,0,100
2026-09-14,632,616,14,2,0,3
2026-09-15,648,644,0,4,0,1
2026-09-16,607,603,2,2,0,1
2026-09-17,565,561,0,4,0,1
2026-09-18,638,632,0,6,0,1
2026-09-19,579,559,0,20,0,3
2026-09-20,580,564,0,16,0,3
2026-09-21,714,702,0,0,12,0
2026-09-22,582,548,0,0,34,0
2026-09-23,310,105,0,0,205,0
