marketplace,brand,month,gmv_actual
tiktok,apice,2026-01,295989.74
tiktok,apice,2026-02,234833.13
tiktok,apice,2026-03,436414.17
tiktok,apice,2026-04,637021.59
tiktok,apice,2026-05,876174.24
tiktok,barbours,2026-01,5970025.88
tiktok,barbours,2026-02,10606317.24
tiktok,barbours,2026-03,11830495.41
tiktok,barbours,2026-04,9166934.11
tiktok,barbours,2026-05,9709786.56
tiktok,kokeshi,2026-01,1365370.44
tiktok,kokeshi,2026-02,1141493.40
tiktok,kokeshi,2026-03,2325091.54
tiktok,kokeshi,2026-04,2294455.55
tiktok,kokeshi,2026-05,2316329.17
tiktok,lescent,2026-01,37839.73
tiktok,lescent,2026-02,48209.94
tiktok,lescent,2026-03,260702.30
tiktok,lescent,2026-04,283203.92
tiktok,lescent,2026-05,253922.49
tiktok,rituaria,2026-01,91675.16
tiktok,rituaria,2026-02,87035.08
tiktok,rituaria,2026-03,92380.22
tiktok,rituaria,2026-04,154687.63
tiktok,rituaria,2026-05,239773.40
shopee,apice,2026-01,58718.64
shopee,apice,2026-02,103277.62
shopee,apice,2026-03,188096.67
shopee,apice,2026-04,483592.60
shopee,apice,2026-05,597929.68
shopee,barbours,2026-01,284806.20
shopee,barbours,2026-02,1023009.55
shopee,barbours,2026-03,2735928.42
shopee,barbours,2026-04,2752126.41
shopee,barbours,2026-05,1774185.47
shopee,kokeshi,2026-01,1180341.50
shopee,kokeshi,2026-02,1303516.85
shopee,kokeshi,2026-03,1355431.21
shopee,kokeshi,2026-04,2307942.92
shopee,kokeshi,2026-05,2877716.95
shopee,lescent,2026-01,67015.52
shopee,lescent,2026-02,70337.25
shopee,lescent,2026-03,151175.20
shopee,lescent,2026-04,197567.78
shopee,lescent,2026-05,177050.35
shopee,rituaria,2026-01,246184.74
shopee,rituaria,2026-02,305169.64
shopee,rituaria,2026-03,239747.88
shopee,rituaria,2026-04,317172.71
shopee,rituaria,2026-05,383808.29
mercado_livre,barbours,2026-01,869898.28
mercado_livre,barbours,2026-02,1180177.28
mercado_livre,barbours,2026-03,1855698.93
mercado_livre,barbours,2026-04,1958196.41
mercado_livre,barbours,2026-05,2575365.28
mercado_livre,kokeshi,2026-01,246794.95
mercado_livre,kokeshi,2026-02,349587.99
mercado_livre,kokeshi,2026-03,22479.87
mercado_livre,kokeshi,2026-04,166125.65
mercado_livre,kokeshi,2026-05,789234.38
mercado_livre,lescent,2026-01,370084.91
mercado_livre,lescent,2026-02,249812.65
mercado_livre,lescent,2026-03,207078.42
mercado_livre,lescent,2026-04,100412.51
mercado_livre,lescent,2026-05,552078.14
mercado_livre,rituaria,2026-01,1086580.75
mercado_livre,rituaria,2026-02,1276923.10
mercado_livre,rituaria,2026-03,1913711.54
mercado_livre,rituaria,2026-04,1250410.63
mercado_livre,rituaria,2026-05,1232271.86
