marketplace,brand,month,gmv_reference
tiktok,apice,2026-01,275052.29
tiktok,apice,2026-02,218642.80
tiktok,apice,2026-03,406685.38
tiktok,apice,2026-04,592620.27
tiktok,apice,2026-05,825877.19
tiktok,barbours,2026-01,5738344.14
tiktok,barbours,2026-02,10078610.82
tiktok,barbours,2026-03,11155728.69
tiktok,barbours,2026-04,8643111.75
tiktok,barbours,2026-05,9144229.08
tiktok,kokeshi,2026-01,1307811.61
tiktok,kokeshi,2026-02,1075851.49
tiktok,kokeshi,2026-03,2170740.47
tiktok,kokeshi,2026-04,2172291.90
tiktok,kokeshi,2026-05,2172126.16
tiktok,lescent,2026-01,52987.54
tiktok,lescent,2026-02,45934.03
tiktok,lescent,2026-03,246055.69
tiktok,lescent,2026-04,268809.10
tiktok,lescent,2026-05,241156.87
tiktok,rituaria,2026-01,96894.43
tiktok,rituaria,2026-02,84404.32
tiktok,rituaria,2026-03,88771.58
tiktok,rituaria,2026-04,149559.16
tiktok,rituaria,2026-05,231313.50
shopee,apice,2026-01,55989.59
shopee,apice,2026-02,99003.29
shopee,apice,2026-03,179377.24
shopee,apice,2026-04,426500.56
shopee,apice,2026-05,544728.90
shopee,barbours,2026-01,275582.22
shopee,barbours,2026-02,984745.24
shopee,barbours,2026-03,2587636.21
shopee,barbours,2026-04,2425534.74
shopee,barbours,2026-05,1601148.11
shopee,kokeshi,2026-01,1144600.65
shopee,kokeshi,2026-02,1262413.38
shopee,kokeshi,2026-03,1323466.68
shopee,kokeshi,2026-04,2104218.36
shopee,kokeshi,2026-05,2858455.90
shopee,lescent,2026-01,64377.84
shopee,lescent,2026-02,67417.63
shopee,lescent,2026-03,141494.49
shopee,lescent,2026-04,187290.94
shopee,lescent,2026-05,171853.50
shopee,rituaria,2026-01,236899.07
shopee,rituaria,2026-02,296724.85
shopee,rituaria,2026-03,231100.58
shopee,rituaria,2026-04,281907.77
shopee,rituaria,2026-05,368476.82
mercado_livre,barbours,2026-01,880599.00
mercado_livre,barbours,2026-02,1191752.27
mercado_livre,barbours,2026-03,2193217.84
mercado_livre,barbours,2026-04,2157550.98
mercado_livre,barbours,2026-05,2621563.85
mercado_livre,kokeshi,2026-01,250269.21
mercado_livre,kokeshi,2026-02,347994.60
mercado_livre,kokeshi,2026-03,453249.92
mercado_livre,kokeshi,2026-04,557474.28
mercado_livre,kokeshi,2026-05,694595.80
mercado_livre,lescent,2026-01,369711.18
mercado_livre,lescent,2026-02,248246.40
mercado_livre,lescent,2026-03,463429.79
mercado_livre,lescent,2026-04,506449.76
mercado_livre,lescent,2026-05,552966.13
mercado_livre,rituaria,2026-01,1161029.68
mercado_livre,rituaria,2026-02,1261832.83
mercado_livre,rituaria,2026-03,1930169.31
mercado_livre,rituaria,2026-04,1248840.28
mercado_livre,rituaria,2026-05,1217681.96
